selection1_movie,selection1_url
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1
The Godfather,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
The Dark Knight,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3
The Godfather Part II,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4
12 Angry Men,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_6
Schindler's List,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_7
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_8
Pulp Fiction,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_9
"The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_11
Forrest Gump,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_12
Fight Club,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13
Inception,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15
The Matrix,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16
Goodfellas,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17
Interstellar,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_18
One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_19
Se7en,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_20
It's a Wonderful Life,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21
The Silence of the Lambs,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_22
Seven Samurai,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_23
Saving Private Ryan,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24
The Green Mile,https://www.imdb.com/title/tt0120689/?ref_=chttp_t_25
City of God,https://www.imdb.com/title/tt0317248/?ref_=chttp_t_26
Life Is Beautiful,https://www.imdb.com/title/tt0118799/?ref_=chttp_t_27
Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28
Star Wars: Episode IV - A New Hope,https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29
Back to the Future,https://www.imdb.com/title/tt0088763/?ref_=chttp_t_30
Spirited Away,https://www.imdb.com/title/tt0245429/?ref_=chttp_t_31
The Pianist,https://www.imdb.com/title/tt0253474/?ref_=chttp_t_32
Gladiator,https://www.imdb.com/title/tt0172495/?ref_=chttp_t_33
Parasite,https://www.imdb.com/title/tt6751668/?ref_=chttp_t_34
Grave of the Fireflies,https://www.imdb.com/title/tt0095327/?ref_=chttp_t_35
Psycho,https://www.imdb.com/title/tt0054215/?ref_=chttp_t_36
The Lion King,https://www.imdb.com/title/tt0110357/?ref_=chttp_t_37
Harakiri,https://www.imdb.com/title/tt0056058/?ref_=chttp_t_38
The Departed,https://www.imdb.com/title/tt0407887/?ref_=chttp_t_39
Whiplash,https://www.imdb.com/title/tt2582802/?ref_=chttp_t_40
The Prestige,https://www.imdb.com/title/tt0482571/?ref_=chttp_t_41
American History X,https://www.imdb.com/title/tt0120586/?ref_=chttp_t_42
Léon: The Professional,https://www.imdb.com/title/tt0110413/?ref_=chttp_t_43
Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/?ref_=chttp_t_44
Cinema Paradiso,https://www.imdb.com/title/tt0095765/?ref_=chttp_t_45
Casablanca,https://www.imdb.com/title/tt0034583/?ref_=chttp_t_46
The Intouchables,https://www.imdb.com/title/tt1675434/?ref_=chttp_t_47
The Usual Suspects,https://www.imdb.com/title/tt0114814/?ref_=chttp_t_48
Alien,https://www.imdb.com/title/tt0078748/?ref_=chttp_t_49
Django Unchained,https://www.imdb.com/title/tt1853728/?ref_=chttp_t_50
Modern Times,https://www.imdb.com/title/tt0027977/?ref_=chttp_t_51
Rear Window,https://www.imdb.com/title/tt0047396/?ref_=chttp_t_52
Once Upon a Time in the West,https://www.imdb.com/title/tt0064116/?ref_=chttp_t_53
City Lights,https://www.imdb.com/title/tt0021749/?ref_=chttp_t_54
Apocalypse Now,https://www.imdb.com/title/tt0078788/?ref_=chttp_t_55
WALL·E,https://www.imdb.com/title/tt0910970/?ref_=chttp_t_56
Memento,https://www.imdb.com/title/tt0209144/?ref_=chttp_t_57
Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=chttp_t_58
Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/?ref_=chttp_t_59
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/?ref_=chttp_t_60
The Lives of Others,https://www.imdb.com/title/tt0405094/?ref_=chttp_t_61
Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/?ref_=chttp_t_62
Sunset Boulevard,https://www.imdb.com/title/tt0043014/?ref_=chttp_t_63
Witness for the Prosecution,https://www.imdb.com/title/tt0051201/?ref_=chttp_t_64
Paths of Glory,https://www.imdb.com/title/tt0050825/?ref_=chttp_t_65
The Shining,https://www.imdb.com/title/tt0081505/?ref_=chttp_t_66
The Great Dictator,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_67
Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=chttp_t_68
12th Fail,https://www.imdb.com/title/tt23849204/?ref_=chttp_t_69
Aliens,https://www.imdb.com/title/tt0090605/?ref_=chttp_t_70
High and Low,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_71
The Dark Knight Rises,https://www.imdb.com/title/tt1345836/?ref_=chttp_t_72
Coco,https://www.imdb.com/title/tt2380307/?ref_=chttp_t_73
Avengers: Endgame,https://www.imdb.com/title/tt4154796/?ref_=chttp_t_74
Good Will Hunting,https://www.imdb.com/title/tt0119217/?ref_=chttp_t_75
Amadeus,https://www.imdb.com/title/tt0086879/?ref_=chttp_t_76
Toy Story,https://www.imdb.com/title/tt0114709/?ref_=chttp_t_77
Your Name.,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_78
Das Boot,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_79
Oldboy,https://www.imdb.com/title/tt0364569/?ref_=chttp_t_80
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/?ref_=chttp_t_81
Braveheart,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_82
Princess Mononoke,https://www.imdb.com/title/tt0119698/?ref_=chttp_t_83
American Beauty,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_84
3 Idiots,https://www.imdb.com/title/tt1187043/?ref_=chttp_t_85
Capernaum,https://www.imdb.com/title/tt8267604/?ref_=chttp_t_86
Joker,https://www.imdb.com/title/tt7286456/?ref_=chttp_t_87
Singin' in the Rain,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_88
Once Upon a Time in America,https://www.imdb.com/title/tt0087843/?ref_=chttp_t_89
Come and See,https://www.imdb.com/title/tt0091251/?ref_=chttp_t_90
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/?ref_=chttp_t_91
Requiem for a Dream,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_92
Toy Story 3,https://www.imdb.com/title/tt0435761/?ref_=chttp_t_93
Ikiru,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_94
The Hunt,https://www.imdb.com/title/tt2106476/?ref_=chttp_t_95
Incendies,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_96
Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/?ref_=chttp_t_97
The Apartment,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_98
Lawrence of Arabia,https://www.imdb.com/title/tt0056172/?ref_=chttp_t_99
2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/?ref_=chttp_t_100
Reservoir Dogs,https://www.imdb.com/title/tt0105236/?ref_=chttp_t_101
Heat,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_102
Scarface,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_103
Double Indemnity,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_104
Up,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_105
North by Northwest,https://www.imdb.com/title/tt0053125/?ref_=chttp_t_106
Like Stars on Earth,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_107
Full Metal Jacket,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_108
M,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_109
Citizen Kane,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_110
Amélie,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_111
Vertigo,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_112
A Separation,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_113
Die Hard,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_114
To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_115
The Sting,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_116
Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_117
A Clockwork Orange,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_118
Metropolis,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_119
Snatch,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_120
1917,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_121
L.A. Confidential,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_122
Downfall,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_123
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_124
Dangal,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_125
Bicycle Thieves,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_126
Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=chttp_t_127
The Truman Show,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_128
Green Book,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_129
Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_130
Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_131
Batman Begins,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_132
Hamilton,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_133
For a Few Dollars More,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_134
Taxi Driver,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_135
Jurassic Park,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_136
Some Like It Hot,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_137
There Will Be Blood,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_138
The Kid,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_139
The Father,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_140
All About Eve,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_141
The Sixth Sense,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_142
